variable,k_groups,n_used,kw_stat,p_value,p_bonf,significant_bonf
pcl5_17,23,221,23.674030049671657,0.36454510955781044,1.0,False
pcl5_4,23,221,23.4348345650699,0.3775346460154941,1.0,False
pgsi_1,23,221,23.268429013289705,0.3867073661563295,1.0,False
audit_6,23,221,22.981802163179452,0.4027578063713655,1.0,False
iat_2,23,221,22.89983714617428,0.40740389352549344,1.0,False
iat_8,23,221,22.827745086759133,0.4115103412203007,1.0,False
iat_12,23,221,22.821084704275908,0.4118906566833457,1.0,False
pcl5_7,23,221,22.67175763026069,0.42045802436763247,1.0,False
iat_9,23,221,22.616195463689085,0.42366529214113746,1.0,False
pcl5_13,23,221,21.96011665286454,0.4622714471059328,1.0,False
pcl5_20,23,221,21.832891205840188,0.4699002750501572,1.0,False
MSPSS_total,23,221,21.28625059834478,0.5031126122341896,1.0,False
swls_3,23,221,21.281098449372188,0.503428600027438,1.0,False
PCL5_total,23,221,21.210562197784103,0.5077595296377944,1.0,False
iat_4,23,221,21.12513440149754,0.5130164410791089,1.0,False
swls_4,23,221,20.81496766875251,0.5321973738386164,1.0,False
pcl5_14,23,221,20.78273157767022,0.5341982918804815,1.0,False
mspss_10,23,221,20.674359883395574,0.5409336365244373,1.0,False
audit_5,23,221,20.445771362061077,0.5551773320488591,1.0,False
pcl5_19,23,221,20.41040363325684,0.557384766937074,1.0,False
dast_9,23,221,20.1057342649427,0.5764258486409096,1.0,False
pcl5_2,23,221,20.074495196419377,0.5783798094025545,1.0,False
who5_3,23,221,20.042890830470593,0.5803567340704148,1.0,False
iat_19,23,221,20.01035816416724,0.5823917953380939,1.0,False
iat_20,23,221,19.982060818768524,0.5841619344899207,1.0,False
pcl5_6,23,221,19.965460750165423,0.5852003428344063,1.0,False
iat_16,23,221,19.660658189529993,0.6042570153468081,1.0,False
dast_10,23,221,19.360228772414477,0.6229913926351296,1.0,False
pcl5_18,23,221,18.909712046809926,0.6508969967037774,1.0,False
pgsi_5,23,221,18.90661427746199,0.651087803587526,1.0,False
iat_17,23,221,18.888805014264783,0.6521844308065121,1.0,False
pcl5_3,23,221,18.837905558931233,0.6553154286307241,1.0,False
audit_7,23,221,18.708375600937448,0.6632605876022446,1.0,False
swls_2,23,221,18.6099883605593,0.669272008089776,1.0,False
audit_9,23,221,18.310157362734984,0.6874488679199959,1.0,False
pgsi_9,23,221,18.303204751491577,0.687867570663723,1.0,False
mspss_2,23,221,18.28244305718549,0.6891170839763323,1.0,False
iat_13,23,221,18.161813667971284,0.6963524242120722,1.0,False
pcl5_11,23,221,17.684352675951345,0.7245303809318759,1.0,False
audit_3,23,221,17.481747083706363,0.736235322189708,1.0,False
pgsi_3,23,221,17.471174669493696,0.7368415708039837,1.0,False
SWLS_total,23,221,17.36405464211049,0.7429576316977755,1.0,False
pcl5_9,23,221,17.13038271273737,0.756124769632415,1.0,False
WHO5_total,23,221,16.851374587473845,0.7715106403849905,1.0,False
AUDIT_total,23,221,16.410569369727376,0.7949999007593215,1.0,False
mspss_9,23,221,16.406434632825007,0.7952151706513737,1.0,False
pcl5_12,23,221,15.632616055523316,0.833691358306314,1.0,False
mspss_8,23,221,15.476391771379463,0.8409958560456734,1.0,False
swls_1,23,221,15.116911071710259,0.8571720363994999,1.0,False
mspss_4,23,221,14.09602751570982,0.8980359955634872,1.0,False
pgsi_8,23,221,14.014342873864443,0.9009693716659128,1.0,False
mspss_5,23,221,13.28932944572865,0.9247766081171486,1.0,False
pcl5_15,23,221,12.658760657783844,0.942243490077484,1.0,False
who5_5,23,221,11.782899108367875,0.9617018248206479,1.0,False
