variable,edu_a,edu_b,n_a,n_b,u_stat,p_value,p_bonf,significant_bonf,rank_biserial_r
WHO5_total,18.0,25.0,38,9,34.5,0.00022156486501736058,0.0033234729752604085,True,0.7982456140350878
WHO5_total,22.0,25.0,29,9,84.0,0.10857479155182309,1.0,False,0.3563218390804598
pgsi_4,5.0,8.0,39,48,1225.5,0.00961924958294044,0.1442887437441066,False,-0.3092948717948718
pgsi_4,5.0,13.0,39,58,1902.0,7.182162893947639e-11,1.0773244340921459e-09,True,-0.6816976127320955
pgsi_4,5.0,18.0,39,38,1144.0,8.784760459693756e-06,0.00013177140689540632,True,-0.5438596491228069
pgsi_4,5.0,22.0,39,29,944.0,4.935033506101743e-07,7.402550259152614e-06,True,-0.6693191865605659
pgsi_4,5.0,25.0,39,9,285.0,0.002694601882924865,0.04041902824387298,True,-0.6239316239316239
pgsi_4,8.0,13.0,48,58,1953.0,1.1329693193157504e-05,0.00016994539789736256,True,-0.4030172413793103
pgsi_4,8.0,18.0,48,38,1159.5,0.013711865075435724,0.20567797613153585,False,-0.27138157894736836
pgsi_4,8.0,22.0,48,29,954.0,0.0019775463942625824,0.029663195913938737,True,-0.3706896551724137
pgsi_4,8.0,25.0,48,9,279.0,0.1362212689001834,1.0,False,-0.29166666666666674
pgsi_4,13.0,18.0,58,38,978.0,0.16378603655837065,1.0,False,0.11252268602540838
pgsi_4,13.0,22.0,58,29,789.0,0.467128985047101,1.0,False,0.061831153388822835
pgsi_4,13.0,25.0,58,9,213.0,0.1745322149531624,1.0,False,0.1839080459770115
pgsi_4,18.0,22.0,38,29,582.5,0.5896635676698703,1.0,False,-0.05716878402903802
pgsi_4,18.0,25.0,38,9,162.0,0.7635008180016948,1.0,False,0.052631578947368474
pgsi_4,22.0,25.0,29,9,114.0,0.455800737878834,1.0,False,0.12643678160919536
SWLS_total,5.0,8.0,39,48,625.5,0.00803707283466795,0.12055609252001925,False,0.3317307692307693
SWLS_total,5.0,13.0,39,58,795.0,0.013455836817016344,0.20183755225524516,False,0.2970822281167109
SWLS_total,5.0,18.0,39,38,459.0,0.004086482423470784,0.06129723635206177,False,0.38056680161943324
SWLS_total,5.0,22.0,39,29,109.0,1.5101409932724176e-08,2.2652114899086264e-07,True,0.8072502210433246
SWLS_total,5.0,25.0,39,9,0.0,3.7163315473099985e-06,5.574497320964998e-05,True,1.0
SWLS_total,8.0,13.0,48,58,1367.5,0.8787462467631222,1.0,False,0.017600574712643646
SWLS_total,8.0,18.0,48,38,804.0,0.3489254717334417,1.0,False,0.11842105263157898
SWLS_total,8.0,22.0,48,29,180.0,5.734952416070255e-08,8.602428624105383e-07,True,0.7413793103448276
SWLS_total,8.0,25.0,48,9,0.0,2.29183070374119e-06,3.437746055611785e-05,True,1.0
SWLS_total,13.0,18.0,58,38,1004.0,0.4645377566410741,1.0,False,0.08892921960072597
SWLS_total,13.0,22.0,58,29,401.5,7.528399777997403e-05,0.0011292599666996104,True,0.5225921521997622
SWLS_total,13.0,25.0,58,9,71.0,0.00048420950759482683,0.007263142613922403,True,0.7279693486590038
SWLS_total,18.0,22.0,38,29,297.0,0.0013093602312586896,0.019640403468880345,True,0.4609800362976406
SWLS_total,18.0,25.0,38,9,51.0,0.0012115237052497648,0.018172855578746473,True,0.7017543859649122
SWLS_total,22.0,25.0,29,9,96.5,0.2466885805770841,1.0,False,0.26053639846743293
dast_7,5.0,8.0,39,48,804.0,0.033372898959439186,0.5005934843915878,False,0.14102564102564108
dast_7,5.0,13.0,39,58,438.5,1.7276492033908343e-09,2.5914738050862515e-08,True,0.6122900088417329
dast_7,5.0,18.0,39,38,487.0,0.00016664040999332945,0.002499606149899942,True,0.3427800269905533
dast_7,5.0,22.0,39,29,248.5,2.812919049405999e-07,4.219378574108998e-06,True,0.5605658709106984
dast_7,5.0,25.0,39,9,102.0,0.00026886600692235465,0.00403299010383532,True,0.41880341880341876
dast_7,8.0,13.0,48,58,736.0,1.1768281568331348e-06,1.765242235249702e-05,True,0.47126436781609193
dast_7,8.0,18.0,48,38,728.0,0.034741592074962954,0.5211238811244443,False,0.20175438596491224
dast_7,8.0,22.0,48,29,404.0,0.00015797088790649093,0.002369563318597364,True,0.41954022988505746
dast_7,8.0,25.0,48,9,156.0,0.06521946602006719,0.9782919903010078,False,0.2777777777777778
dast_7,13.0,18.0,58,38,1399.0,0.010172243392202157,0.15258365088303236,False,-0.2695099818511797
dast_7,13.0,22.0,58,29,884.5,0.6450423075884464,1.0,False,-0.051724137931034475
dast_7,13.0,25.0,58,9,311.5,0.27612045391394513,1.0,False,-0.19348659003831425
dast_7,18.0,22.0,38,29,431.0,0.07997311719990084,1.0,False,0.21778584392014522
dast_7,18.0,25.0,38,9,158.0,0.688198270285951,1.0,False,0.07602339181286555
dast_7,22.0,25.0,29,9,149.0,0.47313992542164995,1.0,False,-0.14176245210727978
iat_16,5.0,8.0,39,48,495.0,9.199045523072756e-05,0.0013798568284609134,True,0.47115384615384615
iat_16,5.0,13.0,39,58,933.0,0.13935211474131265,1.0,False,0.17506631299734743
iat_16,5.0,18.0,39,38,682.5,0.5469372106152872,1.0,False,0.07894736842105265
iat_16,5.0,22.0,39,29,850.5,0.000287660918308453,0.004314913774626795,True,-0.5039787798408488
iat_16,5.0,25.0,39,9,274.5,0.00742753607222196,0.1114130410833294,False,-0.5641025641025641
iat_16,8.0,13.0,48,58,1859.5,0.002304069537001988,0.03456104305502982,True,-0.3358477011494252
iat_16,8.0,18.0,48,38,1287.5,0.0007838268165866132,0.011757402248799197,True,-0.4117324561403508
iat_16,8.0,22.0,48,29,1236.0,5.498000495252433e-09,8.24700074287865e-08,True,-0.7758620689655173
iat_16,8.0,25.0,48,9,393.5,4.682188842196683e-05,0.0007023283263295025,True,-0.8217592592592593
iat_16,13.0,18.0,58,38,1195.0,0.4770339133915643,1.0,False,-0.0843920145190562
iat_16,13.0,22.0,58,29,1298.5,2.3059572819764492e-05,0.0003458935922964674,True,-0.5439952437574316
iat_16,13.0,25.0,58,9,400.0,0.008976482660642103,0.13464723990963154,False,-0.5325670498084292
iat_16,18.0,22.0,38,29,840.0,0.0001844035711602594,0.002766053567403891,True,-0.5245009074410163
iat_16,18.0,25.0,38,9,260.0,0.015044477912239083,0.22566716868358624,False,-0.5204678362573099
iat_16,22.0,25.0,29,9,106.5,0.3919356585986087,1.0,False,0.1839080459770115
pgsi_3,5.0,8.0,39,48,1009.0,0.5129012352110947,1.0,False,-0.07799145299145294
pgsi_3,5.0,13.0,39,58,1781.5,4.771219171322806e-09,7.15682875698421e-08,True,-0.575154730327144
pgsi_3,5.0,18.0,39,38,1054.0,0.0005762168896488776,0.008643253344733164,True,-0.4224021592442646
pgsi_3,5.0,22.0,39,29,868.0,3.8665733396595065e-05,0.0005799860009489259,True,-0.5349248452696729
pgsi_3,5.0,25.0,39,9,268.0,0.010266367244073461,0.15399550866110193,False,-0.5270655270655271
pgsi_3,8.0,13.0,48,58,2029.0,3.442352495021748e-07,5.163528742532622e-06,True,-0.4576149425287357
pgsi_3,8.0,18.0,48,38,1192.0,0.007148873622995806,0.10723310434493709,False,-0.3070175438596492
pgsi_3,8.0,22.0,48,29,983.5,0.0006301701160052548,0.009452551740078821,True,-0.41307471264367823
pgsi_3,8.0,25.0,48,9,303.5,0.03749381809981125,0.5624072714971687,False,-0.40509259259259256
pgsi_3,13.0,18.0,58,38,826.0,0.0023698678887692434,0.03554801833153865,True,0.25045372050816694
pgsi_3,13.0,22.0,58,29,745.5,0.13784836137578468,1.0,False,0.11355529131985731
pgsi_3,13.0,25.0,58,9,227.5,0.25276009718187387,1.0,False,0.1283524904214559
pgsi_3,18.0,22.0,38,29,634.5,0.1818033995994005,1.0,False,-0.15154264972776765
pgsi_3,18.0,25.0,38,9,194.5,0.44673495104487193,1.0,False,-0.13742690058479523
pgsi_3,22.0,25.0,29,9,128.5,0.94187651467601,1.0,False,0.01532567049808431
iat_13,5.0,8.0,39,48,411.5,4.0224751127512915e-06,6.0337126691269375e-05,True,0.5603632478632479
iat_13,5.0,13.0,39,58,864.5,0.0467121142878345,0.7006817143175175,False,0.23563218390804597
iat_13,5.0,18.0,39,38,534.5,0.032092640175870026,0.48138960263805036,False,0.2786774628879892
iat_13,5.0,22.0,39,29,708.0,0.06615532088314906,0.9923298132472359,False,-0.2519893899204244
iat_13,5.0,25.0,39,9,213.0,0.31206949571529685,1.0,False,-0.21367521367521358
iat_13,8.0,13.0,48,58,1922.5,0.0005738119927361366,0.008607179891042049,True,-0.38110632183908044
iat_13,8.0,18.0,48,38,1200.5,0.009788376646100846,0.14682564969151268,False,-0.3163377192982457
iat_13,8.0,22.0,48,29,1242.5,4.503045068160771e-09,6.754567602241157e-08,True,-0.7852011494252873
iat_13,8.0,25.0,48,9,401.0,2.6674450013498405e-05,0.0004001167502024761,True,-0.8564814814814814
iat_13,13.0,18.0,58,38,1038.0,0.6279976915215344,1.0,False,0.05807622504537202
iat_13,13.0,22.0,58,29,1263.0,0.0001103690405102964,0.001655535607654446,True,-0.5017835909631392
iat_13,13.0,25.0,58,9,384.0,0.022137967476244746,0.3320695121436712,False,-0.47126436781609193
iat_13,18.0,22.0,38,29,836.5,0.00021781746826671688,0.003267262024000753,True,-0.5181488203266789
iat_13,18.0,25.0,38,9,261.5,0.013245353310364884,0.19868029965547326,False,-0.5292397660818713
iat_13,22.0,25.0,29,9,106.5,0.395119197727527,1.0,False,0.1839080459770115
iat_9,5.0,8.0,39,48,517.5,0.00023619675850859953,0.003542951377628993,True,0.4471153846153846
iat_9,5.0,13.0,39,58,834.0,0.02642704866873603,0.39640573003104046,False,0.2625994694960212
iat_9,5.0,18.0,39,38,610.0,0.17163398958317067,1.0,False,0.1767881241565452
iat_9,5.0,22.0,39,29,786.0,0.004795007110420444,0.07192510665630666,False,-0.3899204244031831
iat_9,5.0,25.0,39,9,286.0,0.002617918039524166,0.03926877059286249,True,-0.6296296296296295
iat_9,8.0,13.0,48,58,1677.0,0.0636126487781667,0.9541897316725005,False,-0.20474137931034475
iat_9,8.0,18.0,48,38,1181.0,0.016042949717881356,0.24064424576822033,False,-0.29495614035087714
iat_9,8.0,22.0,48,29,1183.0,1.6578581477738343e-07,2.4867872216607515e-06,True,-0.6997126436781609
iat_9,8.0,25.0,48,9,397.0,4.116821352859551e-05,0.0006175232029289327,True,-0.837962962962963
iat_9,13.0,18.0,58,38,1202.5,0.4450248881406247,1.0,False,-0.0911978221415608
iat_9,13.0,22.0,58,29,1278.0,5.481640298437562e-05,0.0008222460447656342,True,-0.5196195005945303
iat_9,13.0,25.0,58,9,440.0,0.000759156730932135,0.011387350963982025,True,-0.685823754789272
iat_9,18.0,22.0,38,29,840.5,0.00018012823721162292,0.0027019235581743437,True,-0.5254083484573502
iat_9,18.0,25.0,38,9,296.5,0.0005557555774364331,0.008336333661546496,True,-0.7339181286549707
iat_9,22.0,25.0,29,9,162.5,0.23807009022712444,1.0,False,-0.24521072796934873
iat_1,5.0,8.0,39,48,631.0,0.007323086764149547,0.10984630146224321,False,0.3258547008547008
iat_1,5.0,13.0,39,58,889.5,0.07043436434925675,1.0,False,0.21352785145888598
iat_1,5.0,18.0,39,38,683.5,0.5519085380205399,1.0,False,0.0775978407557355
iat_1,5.0,22.0,39,29,861.5,0.00018569237872428525,0.0027853856808642786,True,-0.5234305923961096
iat_1,5.0,25.0,39,9,285.5,0.002781529593340202,0.04172294390010303,True,-0.6267806267806268
iat_1,8.0,13.0,48,58,1597.0,0.18242973036813626,1.0,False,-0.14727011494252884
iat_1,8.0,18.0,48,38,1145.0,0.03832124338238579,0.5748186507357869,False,-0.2554824561403508
iat_1,8.0,22.0,48,29,1197.0,8.807653609982881e-08,1.3211480414974322e-06,True,-0.7198275862068966
iat_1,8.0,25.0,48,9,391.0,9.001322988829786e-05,0.0013501984483244678,True,-0.8101851851851851
iat_1,13.0,18.0,58,38,1239.0,0.2944073852572915,1.0,False,-0.12431941923774947
iat_1,13.0,22.0,58,29,1360.5,1.7034914173000015e-06,2.5552371259500023e-05,True,-0.617717003567182
iat_1,13.0,25.0,58,9,448.5,0.00043513157485134177,0.006526973622770126,True,-0.7183908045977012
iat_1,18.0,22.0,38,29,847.0,0.0001271187991614716,0.001906781987422074,True,-0.5372050816696914
iat_1,18.0,25.0,38,9,282.0,0.0024062816913966107,0.03609422537094916,True,-0.6491228070175439
iat_1,22.0,25.0,29,9,122.5,0.7875436288606305,1.0,False,0.06130268199233713
iat_4,5.0,8.0,39,48,606.5,0.003527025262715199,0.052905378940727985,False,0.3520299145299145
iat_4,5.0,13.0,39,58,884.0,0.06411911961802703,0.9617867942704055,False,0.2183908045977011
iat_4,5.0,18.0,39,38,694.5,0.6315627623262852,1.0,False,0.06275303643724695
iat_4,5.0,22.0,39,29,852.0,0.0002613022994169402,0.003919534491254102,True,-0.506631299734748
iat_4,5.0,25.0,39,9,271.5,0.009500550775436186,0.1425082616315428,False,-0.5470085470085471
iat_4,8.0,13.0,48,58,1651.5,0.0907936702237726,1.0,False,-0.18642241379310343
iat_4,8.0,18.0,48,38,1186.5,0.014243644993494092,0.21365467490241138,False,-0.30098684210526305
iat_4,8.0,22.0,48,29,1204.5,4.582071340111469e-08,6.873107010167204e-07,True,-0.7306034482758621
iat_4,8.0,25.0,48,9,386.0,0.00012360525694139318,0.0018540788541208976,True,-0.787037037037037
iat_4,13.0,18.0,58,38,1255.0,0.23994812641468122,1.0,False,-0.13883847549909256
iat_4,13.0,22.0,58,29,1353.5,1.7751552173198007e-06,2.662732825979701e-05,True,-0.6093935790725327
iat_4,13.0,25.0,58,9,430.5,0.001261157168303703,0.018917357524555544,True,-0.6494252873563218
iat_4,18.0,22.0,38,29,851.5,9.87530687472983e-05,0.0014812960312094745,True,-0.5453720508166968
iat_4,18.0,25.0,38,9,268.0,0.008000806722648185,0.12001210083972277,False,-0.567251461988304
iat_4,22.0,25.0,29,9,111.0,0.48105255008003034,1.0,False,0.14942528735632188
